number of genes: 16598
number of nodes: 533
Overlap: 482
10, 0, -6.0 - C: 26, E: 54, O: 402
10, 0, -5.0 - C: 34, E: 55, O: 393
10, 0, -4.0 - C: 44, E: 53, O: 385
10, 0, -3.8 - C: 45, E: 53, O: 384
10, 0, -3.6 - C: 46, E: 54, O: 382
10, 0, -3.4 - C: 48, E: 52, O: 382
10, 0, -3.2 - C: 49, E: 51, O: 382
10, 0, -3.0 - C: 48, E: 50, O: 384
10, 0, -2.0 - C: 56, E: 55, O: 371
10, 0, -1.0 - C: 59, E: 55, O: 368
10, 0, 0.0 - C: 67, E: 54, O: 361
10, 1, -6.0 - C: 26, E: 54, O: 402
10, 1, -5.0 - C: 34, E: 55, O: 393
10, 1, -4.0 - C: 44, E: 53, O: 385
10, 1, -3.8 - C: 45, E: 53, O: 384
10, 1, -3.6 - C: 46, E: 54, O: 382
10, 1, -3.4 - C: 48, E: 52, O: 382
10, 1, -3.2 - C: 49, E: 51, O: 382
10, 1, -3.0 - C: 48, E: 50, O: 384
10, 1, -2.0 - C: 56, E: 55, O: 371
10, 1, -1.0 - C: 59, E: 55, O: 368
10, 1, 0.0 - C: 67, E: 54, O: 361
10, 2, -6.0 - C: 26, E: 54, O: 402
10, 2, -5.0 - C: 34, E: 55, O: 393
10, 2, -4.0 - C: 44, E: 53, O: 385
10, 2, -3.8 - C: 45, E: 53, O: 384
10, 2, -3.6 - C: 46, E: 54, O: 382
10, 2, -3.4 - C: 48, E: 52, O: 382
10, 2, -3.2 - C: 49, E: 51, O: 382
10, 2, -3.0 - C: 48, E: 50, O: 384
10, 2, -2.0 - C: 56, E: 55, O: 371
10, 2, -1.0 - C: 59, E: 55, O: 368
10, 2, 0.0 - C: 67, E: 54, O: 361
10, 3, -6.0 - C: 25, E: 53, O: 404
10, 3, -5.0 - C: 34, E: 54, O: 394
10, 3, -4.0 - C: 44, E: 53, O: 385
10, 3, -3.8 - C: 45, E: 53, O: 384
10, 3, -3.6 - C: 46, E: 54, O: 382
10, 3, -3.4 - C: 48, E: 52, O: 382
10, 3, -3.2 - C: 49, E: 51, O: 382
10, 3, -3.0 - C: 48, E: 50, O: 384
10, 3, -2.0 - C: 56, E: 55, O: 371
10, 3, -1.0 - C: 59, E: 55, O: 368
10, 3, 0.0 - C: 67, E: 54, O: 361
10, 4, -6.0 - C: 23, E: 52, O: 407
10, 4, -5.0 - C: 33, E: 54, O: 395
10, 4, -4.0 - C: 43, E: 53, O: 386
10, 4, -3.8 - C: 44, E: 53, O: 385
10, 4, -3.6 - C: 45, E: 54, O: 383
10, 4, -3.4 - C: 47, E: 52, O: 383
10, 4, -3.2 - C: 48, E: 51, O: 383
10, 4, -3.0 - C: 48, E: 50, O: 384
10, 4, -2.0 - C: 56, E: 55, O: 371
10, 4, -1.0 - C: 59, E: 55, O: 368
10, 4, 0.0 - C: 67, E: 54, O: 361
10, 5, -6.0 - C: 19, E: 51, O: 412
10, 5, -5.0 - C: 30, E: 53, O: 399
10, 5, -4.0 - C: 40, E: 52, O: 390
10, 5, -3.8 - C: 41, E: 53, O: 388
10, 5, -3.6 - C: 42, E: 54, O: 386
10, 5, -3.4 - C: 45, E: 52, O: 385
10, 5, -3.2 - C: 46, E: 51, O: 385
10, 5, -3.0 - C: 46, E: 50, O: 386
10, 5, -2.0 - C: 55, E: 55, O: 372
10, 5, -1.0 - C: 59, E: 55, O: 368
10, 5, 0.0 - C: 67, E: 54, O: 361
10, 6, -6.0 - C: 18, E: 51, O: 413
10, 6, -5.0 - C: 29, E: 53, O: 400
10, 6, -4.0 - C: 39, E: 52, O: 391
10, 6, -3.8 - C: 40, E: 53, O: 389
10, 6, -3.6 - C: 41, E: 54, O: 387
10, 6, -3.4 - C: 44, E: 52, O: 386
10, 6, -3.2 - C: 45, E: 51, O: 386
10, 6, -3.0 - C: 45, E: 50, O: 387
10, 6, -2.0 - C: 53, E: 55, O: 374
10, 6, -1.0 - C: 58, E: 55, O: 369
10, 6, 0.0 - C: 65, E: 54, O: 363
10, 7, -6.0 - C: 16, E: 47, O: 419
10, 7, -5.0 - C: 25, E: 50, O: 407
10, 7, -4.0 - C: 34, E: 49, O: 399
10, 7, -3.8 - C: 35, E: 50, O: 397
10, 7, -3.6 - C: 36, E: 51, O: 395
10, 7, -3.4 - C: 38, E: 50, O: 394
10, 7, -3.2 - C: 40, E: 49, O: 393
10, 7, -3.0 - C: 40, E: 49, O: 393
10, 7, -2.0 - C: 48, E: 54, O: 380
10, 7, -1.0 - C: 54, E: 54, O: 374
10, 7, 0.0 - C: 61, E: 54, O: 367
10, 8, -6.0 - C: 16, E: 46, O: 420
10, 8, -5.0 - C: 24, E: 49, O: 409
10, 8, -4.0 - C: 33, E: 48, O: 401
10, 8, -3.8 - C: 34, E: 49, O: 399
10, 8, -3.6 - C: 35, E: 50, O: 397
10, 8, -3.4 - C: 37, E: 49, O: 396
10, 8, -3.2 - C: 39, E: 48, O: 395
10, 8, -3.0 - C: 39, E: 48, O: 395
10, 8, -2.0 - C: 47, E: 53, O: 382
10, 8, -1.0 - C: 52, E: 53, O: 377
10, 8, 0.0 - C: 58, E: 53, O: 371
10, 9, -6.0 - C: 16, E: 44, O: 422
10, 9, -5.0 - C: 24, E: 47, O: 411
10, 9, -4.0 - C: 33, E: 46, O: 403
10, 9, -3.8 - C: 34, E: 47, O: 401
10, 9, -3.6 - C: 35, E: 48, O: 399
10, 9, -3.4 - C: 37, E: 47, O: 398
10, 9, -3.2 - C: 39, E: 46, O: 397
10, 9, -3.0 - C: 39, E: 46, O: 397
10, 9, -2.0 - C: 47, E: 51, O: 384
10, 9, -1.0 - C: 50, E: 52, O: 380
10, 9, 0.0 - C: 56, E: 53, O: 373
10, 10, -6.0 - C: 14, E: 42, O: 426
10, 10, -5.0 - C: 22, E: 45, O: 415
10, 10, -4.0 - C: 31, E: 44, O: 407
10, 10, -3.8 - C: 32, E: 45, O: 405
10, 10, -3.6 - C: 33, E: 46, O: 403
10, 10, -3.4 - C: 35, E: 45, O: 402
10, 10, -3.2 - C: 37, E: 44, O: 401
10, 10, -3.0 - C: 37, E: 44, O: 401
10, 10, -2.0 - C: 45, E: 49, O: 388
10, 10, -1.0 - C: 48, E: 51, O: 383
10, 10, 0.0 - C: 54, E: 52, O: 376
20, 0, -6.0 - C: 26, E: 54, O: 402
20, 0, -5.0 - C: 34, E: 55, O: 393
20, 0, -4.0 - C: 44, E: 53, O: 385
20, 0, -3.8 - C: 45, E: 53, O: 384
20, 0, -3.6 - C: 46, E: 54, O: 382
20, 0, -3.4 - C: 48, E: 52, O: 382
