number of genes: 16598
number of nodes: 534
Overlap: 483
10, 5, -5.0 - C: 30, E: 52, O: 401
10, 5, -4.0 - C: 40, E: 51, O: 392
10, 5, -3.0 - C: 46, E: 49, O: 388
10, 5, -2.0 - C: 55, E: 54, O: 374
10, 5, -1.0 - C: 59, E: 54, O: 370
10, 5, 0.0 - C: 67, E: 53, O: 363
10, 5, 1.0 - C: 73, E: 49, O: 361
10, 5, 2.0 - C: 80, E: 51, O: 352
10, 5, 3.0 - C: 84, E: 51, O: 348
10, 5, 4.0 - C: 88, E: 52, O: 343
10, 5, 5.0 - C: 89, E: 51, O: 343
10, 6, -5.0 - C: 29, E: 52, O: 402
10, 6, -4.0 - C: 39, E: 51, O: 393
10, 6, -3.0 - C: 45, E: 49, O: 389
10, 6, -2.0 - C: 53, E: 54, O: 376
10, 6, -1.0 - C: 58, E: 54, O: 371
10, 6, 0.0 - C: 65, E: 53, O: 365
10, 6, 1.0 - C: 71, E: 49, O: 363
10, 6, 2.0 - C: 78, E: 51, O: 354
10, 6, 3.0 - C: 82, E: 51, O: 350
10, 6, 4.0 - C: 87, E: 52, O: 344
10, 6, 5.0 - C: 88, E: 51, O: 344
10, 7, -5.0 - C: 25, E: 49, O: 409
10, 7, -4.0 - C: 34, E: 48, O: 401
10, 7, -3.0 - C: 40, E: 48, O: 395
10, 7, -2.0 - C: 48, E: 53, O: 382
10, 7, -1.0 - C: 54, E: 53, O: 376
10, 7, 0.0 - C: 61, E: 53, O: 369
10, 7, 1.0 - C: 68, E: 49, O: 366
10, 7, 2.0 - C: 76, E: 51, O: 356
10, 7, 3.0 - C: 80, E: 51, O: 352
10, 7, 4.0 - C: 85, E: 52, O: 346
10, 7, 5.0 - C: 85, E: 50, O: 348
10, 8, -5.0 - C: 24, E: 48, O: 411
10, 8, -4.0 - C: 33, E: 47, O: 403
10, 8, -3.0 - C: 39, E: 47, O: 397
10, 8, -2.0 - C: 47, E: 52, O: 384
10, 8, -1.0 - C: 52, E: 52, O: 379
10, 8, 0.0 - C: 58, E: 52, O: 373
10, 8, 1.0 - C: 65, E: 48, O: 370
10, 8, 2.0 - C: 73, E: 50, O: 360
10, 8, 3.0 - C: 75, E: 50, O: 358
10, 8, 4.0 - C: 79, E: 52, O: 352
10, 8, 5.0 - C: 79, E: 49, O: 355
10, 9, -5.0 - C: 24, E: 46, O: 413
10, 9, -4.0 - C: 33, E: 45, O: 405
10, 9, -3.0 - C: 39, E: 45, O: 399
10, 9, -2.0 - C: 47, E: 50, O: 386
10, 9, -1.0 - C: 50, E: 51, O: 382
10, 9, 0.0 - C: 56, E: 52, O: 375
10, 9, 1.0 - C: 63, E: 48, O: 372
10, 9, 2.0 - C: 70, E: 50, O: 363
10, 9, 3.0 - C: 71, E: 50, O: 362
10, 9, 4.0 - C: 75, E: 50, O: 358
10, 9, 5.0 - C: 73, E: 45, O: 365
10, 10, -5.0 - C: 22, E: 44, O: 417
10, 10, -4.0 - C: 31, E: 43, O: 409
10, 10, -3.0 - C: 37, E: 43, O: 403
10, 10, -2.0 - C: 45, E: 48, O: 390
10, 10, -1.0 - C: 48, E: 50, O: 385
10, 10, 0.0 - C: 54, E: 51, O: 378
10, 10, 1.0 - C: 62, E: 47, O: 374
10, 10, 2.0 - C: 68, E: 48, O: 367
10, 10, 3.0 - C: 67, E: 48, O: 368
10, 10, 4.0 - C: 70, E: 46, O: 367
10, 10, 5.0 - C: 67, E: 41, O: 375
20, 5, -5.0 - C: 30, E: 52, O: 401
20, 5, -4.0 - C: 40, E: 51, O: 392
20, 5, -3.0 - C: 46, E: 49, O: 388
20, 5, -2.0 - C: 55, E: 54, O: 374
20, 5, -1.0 - C: 59, E: 54, O: 370
20, 5, 0.0 - C: 67, E: 53, O: 363
20, 5, 1.0 - C: 73, E: 49, O: 361
20, 5, 2.0 - C: 80, E: 51, O: 352
20, 5, 3.0 - C: 84, E: 51, O: 348
20, 5, 4.0 - C: 88, E: 52, O: 343
20, 5, 5.0 - C: 89, E: 51, O: 343
20, 6, -5.0 - C: 29, E: 52, O: 402
20, 6, -4.0 - C: 39, E: 51, O: 393
20, 6, -3.0 - C: 45, E: 49, O: 389
20, 6, -2.0 - C: 53, E: 54, O: 376
20, 6, -1.0 - C: 58, E: 54, O: 371
20, 6, 0.0 - C: 65, E: 53, O: 365
20, 6, 1.0 - C: 71, E: 49, O: 363
20, 6, 2.0 - C: 78, E: 51, O: 354
20, 6, 3.0 - C: 82, E: 51, O: 350
20, 6, 4.0 - C: 87, E: 52, O: 344
20, 6, 5.0 - C: 88, E: 51, O: 344
20, 7, -5.0 - C: 25, E: 49, O: 409
20, 7, -4.0 - C: 34, E: 48, O: 401
20, 7, -3.0 - C: 40, E: 48, O: 395
20, 7, -2.0 - C: 48, E: 53, O: 382
20, 7, -1.0 - C: 54, E: 53, O: 376
20, 7, 0.0 - C: 61, E: 53, O: 369
20, 7, 1.0 - C: 68, E: 49, O: 366
20, 7, 2.0 - C: 76, E: 51, O: 356
20, 7, 3.0 - C: 80, E: 51, O: 352
20, 7, 4.0 - C: 85, E: 52, O: 346
