gene           ec_prob        s_prob         outdeg    indeg
FOXI1          0.0            1.0            0         39
PDX1           0.0            1.0            0         43
EHF            0.0            1.0            0         41
LTF            0.0            1.0            0         6
TBX5           0.0            1.0            0         11
MYF5           0.0            1.0            1         89
NKX2-1         0.0            1.0            2         67
ERG            0.0            1.0            3         135
TP63           0.0            1.0            8         43
BARHL2         0.0            1.0            11        13
HOXD13         0.0            1.0            14        7
VAX1           0.0            1.0            19        3
ZNF354C        0.0            1.0            54        0
NKX3-1         0.0            1.0            57        12
MYF6           0.0            1.0            64        244
FOXF2          0.0            1.0            66        48
SMAD1          0.0            1.0            72        81
E2F8           0.0            1.0            115       70
FOXF1          0.0            1.0            129       47
MAFB           0.0            1.0            133       55
BACH1          0.0            1.0            233       119
FOXL1          0.0            1.0            313       28
HAND2          0.0            0.90909        14        76
BARX2          0.0            0.90909        18        4
NFATC1         0.0            0.90909        78        49
PRDM1          0.0            0.90909        126       101
GTF2A1         0.0            0.90909        292       13
CDX2           0.12727        1.0            0         36
ISX            0.0            0.81818        0         10
RAX            0.0            0.81818        6         9
ARX            0.0            0.81818        26        1
BHLHE41        0.0            0.81818        217       132
NR4A2          0.18182        1.0            204       0
TAL2           0.0            0.75758        0         76
T              0.25455        1.0            0         17
LHX5           0.0            0.72727        0         6
BARX1          0.0            0.72727        0         7
ESRRB          0.0            0.72727        2         18
SIX6           0.0            0.72727        2         2
POU2F3         0.0            0.72727        7         77
NKX6-2         0.0            0.72727        7         6
TFF3           0.18182        0.90909        14        89
NR1H4          0.0            0.72727        29        29
HNF4A          0.0            0.72727        32        107
HOXA1          0.0            0.72727        50        0
EGR2           0.18182        0.90909        182       847
MSX2           0.29091        1.0            49        14
MYOD1          0.0            0.68182        0         256
HMX1           0.0            0.68182        1         5
AIRE           0.0            0.63636        0         11
PAX7           0.0            0.63636        5         3
NKX2-2         0.0            0.63636        8         18
ONECUT1        0.0            0.63636        14        11
HOXA7          0.0            0.63636        25        0
DLX5           0.0            0.63636        41        6
NANOG          0.41818        1.0            26        104
PAX8           0.43636        1.0            57        35
IRX4           0.12121        0.68182        0         3
EVX1           0.0            0.54545        0         1
OTP            0.0            0.54545        1         4
ALX3           0.0            0.54545        2         7
HOXA13         0.0            0.54545        32        14
EGR4           0.0            0.54545        85        795
KLF4           0.0            0.54545        220       625
ATOH1          0.0            0.5303         0         79
ELF5           0.0            0.5303         17        16
HIVEP2         0.32727        0.81818        14        45
GZF1           0.0            0.48485        155       5
SIX2           0.25455        0.72727        116       3
CRX            0.0            0.45455        0         22
PROP1          0.0            0.45455        0         8
MEIS1          0.45455        0.90909        156       47
NKX2-5         0.29091        0.72727        1         27
EN2            0.29091        0.72727        45        4
HOXA3          0.29091        0.72727        74        5
PPARG          0.47273        0.90909        31        71
ELK3           0.49091        0.90909        180       0
RBPJ           0.32727        0.72727        203       23
HOXD9          0.61818        1.0            3         7
HOXA4          0.25455        0.63636        34        8
CEBPA          0.0            0.37879        73        120
IRX6           0.0            0.36364        0         7
SATB1          0.0            0.36364        2         4
ARNTL2         0.0            0.36364        21        0
GSX2           0.0            0.36364        26        6
GATA3          0.0            0.36364        98        20
MEF2A          0.36364        0.72727        109       114
PAX6           0.49091        0.81818        45        91
HOXA10         0.21818        0.54545        0         10
HOXA11         0.21818        0.54545        3         10
NEUROD1        0.67273        1.0            15        102
HOXD3          0.67273        1.0            50        2
FOSL2          0.21818        0.54545        333       206
THRB           0.0            0.31818        48        40
SRY            0.32727        0.63636        0         22
NR1I2          0.0            0.30303        0         88
LHX8           0.0            0.30303        1         10
HOXD1          0.70909        1.0            0         3
MYOG           0.0            0.27273        0         244
HOXB1          0.0            0.27273        0         11
DLX4           0.0            0.27273        26        1
DLX3           0.0            0.27273        48        1
ZIC1           0.72727        1.0            155       13
EN1            0.10909        0.36364        25        2
LMX1A          0.0            0.24242        1         11
POU3F3         0.76364        1.0            178       71
PAX4           0.0            0.22727        0         379
RFX4           0.14545        0.36364        3         25
FLI1           0.8            1.0            52        165
TFCP2L1        0.0            0.18182        0         59
SPIB           0.12121        0.30303        11        46
HAND1          0.12121        0.30303        16        96
RUNX1          0.81818        1.0            358       45
STAT4          0.2            0.36364        59        90
GCM1           0.0            0.15152        0         20
SHOX2          0.0            0.15152        27        3
CEBPD          0.22727        0.37879        213       80
SIX3           0.0            0.13636        33        3
FOXP3          0.0            0.13636        106       7
PAX3           0.87273        1.0            15        25
RREB1          0.87273        1.0            63        190
GATA1          0.0            0.12121        0         65
TBX22          0.0            0.12121        0         9
LMO2           0.0            0.12121        27        66
FOXA1          0.10909        0.22727        34        73
NR3C1          0.70909        0.81818        226       84
RUNX2          0.90909        1.0            13        45
HOXA5          0.54545        0.63636        16        31
MECOM          0.90909        1.0            46        21
MEIS2          0.63636        0.72727        190       20
VSX1           0.0            0.09091        6         0
TFAP2B         0.06061        0.15152        25        832
HOXB4          0.06061        0.15152        52        3
REST           0.0            0.09091        97        281
DMRT1          0.0            0.07576        0         18
GFI1           0.0            0.07576        69        55
VAX2           0.29091        0.36364        52        2
HMGA2          0.29091        0.36364        175       33
LHX6           0.04848        0.12121        8         6
MITF           0.04848        0.12121        72        76
HOXA9          0.47273        0.54545        25        20
GATA6          0.0            0.06061        138       6
IRF6           0.09697        0.15152        150       91
HOXB3          0.21818        0.27273        40        9
LHX2           0.21818        0.27273        88        2
TBX18          0.25455        0.30303        190       13
GCM2           0.0            0.04545        1         20
SMAD2          0.96364        1.0            165       41
HOXB6          0.02424        0.06061        14        4
ZBTB6          0.0            0.0303         38        23
HOXB5          0.12121        0.15152        39        5
IKZF2          0.0            0.0303         137       38
MAD1L1         0.01818        0.04545        88        76
POU3F1         0.09697        0.12121        88        83
OTX1           0.70909        0.72727        69        10
RARB           0.89091        0.90909        151       67
NFIC           0.01212        0.0303         60        167
REL            0.0            0.01515        150       74
HOXB7          0.04848        0.06061        6         11
POU6F1         0.0            0.0            0         12
HOXC13         0.0            0.0            0         7
HOXC4          0.0            0.0            0         12
HNF4G          0.0            0.0            0         44
RXRG           0.63636        0.63636        0         67
TFDP2          0.0            0.0            0         70
NR5A1          0.0            0.0            0         15
HNF1A          0.0            0.0            0         47
HOXC11         0.0            0.0            0         8
ELF2           0.0            0.0            0         227
SOX10          0.0            0.0            0         19
POU4F1         0.0            0.0            0         60
IRF5           0.0            0.0            0         124
SOX6           1.0            1.0            0         19
NHLH1          0.0            0.0            0         191
WT1            0.0            0.0            0         469
OTX2           1.0            1.0            0         20
NR0B1          0.0            0.0            0         34
DMBX1          0.0            0.0            0         6
RORA           0.0            0.0            0         22
FOXA2          0.21212        0.21212        0         67
DMRT3          0.0            0.0            0         5
HOXB9          0.0            0.0            1         9
HOXC9          0.0            0.0            2         7
VSX2           0.0            0.0            2         5
IKZF1          0.90909        0.90909        3         182
FOXD3          0.72727        0.72727        3         36
PAX2           0.0            0.0            4         34
RUNX3          0.0            0.0            4         45
DMRT2          0.0            0.0            5         7
ZFP42          0.5303         0.5303         6         172
HOXB13         0.0            0.0            6         9
HNF1B          0.0            0.0            6         39
IRF4           0.0            0.0            8         124
ALX1           0.06061        0.06061        8         6
CDX1           0.0            0.0            8         18
GLI2           0.0            0.0            9         50
ELF1           0.13636        0.13636        12        169
EOMES          0.90909        0.90909        13        1
SOX3           1.0            1.0            13        19
HOXC8          0.0            0.0            13        0
NR5A2          0.90909        0.90909        13        28
MYCN           1.0            1.0            14        103
NR2E3          0.0            0.0            15        14
HOXB8          0.0            0.0            17        11
MEOX1          0.0            0.0            19        0
IRF3           0.0            0.0            20        172
TLX2           0.0            0.0            21        22
MNX1           0.0            0.0            21        5
ISL1           0.0            0.0            21        2
SPI1           0.0            0.0            22        263
CEBPZ          0.15152        0.15152        22        167
NKX3-2         1.0            1.0            23        9
LHX3           0.0            0.0            23        9
HOXC6          0.0            0.0            25        11
HOXC5          0.0            0.0            26        6
HOXC10         0.0            0.0            26        10
SMAD5          1.0            1.0            26        30
ETV7           0.0            0.0            27        150
AR             0.0            0.0            29        64
IRF8           0.0            0.0            29        153
EBF3           0.45455        0.45455        29        61
SOX5           1.0            1.0            29        19
ZNF350         1.0            1.0            30        96
ZIC3           1.0            1.0            30        19
ELF3           0.0            0.0            30        33
POU3F4         0.0            0.0            30        6
STAT5A         0.0            0.0            31        108
ASCL1          1.0            1.0            31        89
ARNT2          0.31818        0.31818        32        73
SMAD9          1.0            1.0            33        30
ITGB2          0.18182        0.18182        33        0
FOXO4          0.0            0.0            34        44
E2F4           0.0            0.0            37        70
RORB           0.0            0.0            38        0
LMX1B          0.0            0.0            41        7
FOXJ1          0.0            0.0            41        39
ELF4           0.06061        0.06061        42        0
SOX8           0.07576        0.07576        42        19
PITX2          0.18182        0.18182        43        21
PITX1          0.0            0.0            43        17
RARG           0.0            0.0            44        67
ESR2           0.0            0.0            45        15
TFAP2C         1.0            1.0            46        856
HOXA2          0.72727        0.72727        47        3
NR1H3          0.0            0.0            48        89
LHX4           0.0            0.0            48        11
GBX2           0.0            0.0            49        6
PRRX2          0.0            0.0            50        12
TBX15          0.72727        0.72727        50        21
PPARA          0.0            0.0            51        145
MYB            1.0            1.0            52        87
FGF9           0.0            0.0            52        4
BRCA1          0.0            0.0            52        0
SOX18          0.0            0.0            53        19
THRA           0.0            0.0            53        75
BPTF           0.0            0.0            55        34
ONECUT2        0.42424        0.42424        55        11
MTF1           0.0            0.0            57        154
RARA           0.0            0.0            58        67
ZNF219         0.0            0.0            58        595
CEBPG          0.45455        0.45455        59        71
PURA           0.0            0.0            59        141
ATF6           0.18182        0.18182        60        98
GTF2A2         0.54545        0.54545        60        13
IRX2           0.0            0.0            63        2
SIX1           0.54545        0.54545        63        1
CUX1           0.45455        0.45455        64        27
ATF3           0.0            0.0            67        141
FOXD1          0.24242        0.24242        67        24
NFE2           0.0            0.0            68        82
EBF2           1.0            1.0            69        61
NFIX           0.0            0.0            69        135
ZNF148         0.0            0.0            73        485
FOXJ3          1.0            1.0            73        0
TFDP1          0.0            0.0            74        70
MSX1           0.0            0.0            74        10
PRRX1          1.0            1.0            75        5
RFXAP          1.0            1.0            78        41
STAT2          0.0            0.0            78        64
FOXG1          0.0            0.0            78        43
FOXJ2          0.36364        0.36364        79        48
E2F2           0.0            0.0            81        70
NR1I3          0.0            0.0            81        88
ZNF589         0.0            0.0            81        48
GATA2          0.0            0.0            82        32
NFYB           0.0            0.0            83        409
MEF2C          1.0            1.0            83        32
NRF1           0.0            0.0            83        197
