number of genes: 16598
number of nodes: 533
Overlap: 482
10, 0, -6.0 - C: 17, E: 29, O: 436
10, 0, -5.0 - C: 21, E: 31, O: 430
10, 0, -4.0 - C: 27, E: 35, O: 420
10, 0, -3.8 - C: 29, E: 36, O: 417
10, 0, -3.6 - C: 29, E: 37, O: 416
10, 0, -3.4 - C: 33, E: 35, O: 414
10, 0, -3.2 - C: 36, E: 33, O: 413
10, 0, -3.0 - C: 40, E: 30, O: 412
10, 0, -2.0 - C: 48, E: 26, O: 408
10, 0, -1.0 - C: 53, E: 30, O: 399
10, 0, 0.0 - C: 62, E: 32, O: 388
10, 1, -6.0 - C: 17, E: 29, O: 436
10, 1, -5.0 - C: 21, E: 31, O: 430
10, 1, -4.0 - C: 27, E: 35, O: 420
10, 1, -3.8 - C: 29, E: 36, O: 417
10, 1, -3.6 - C: 29, E: 37, O: 416
10, 1, -3.4 - C: 33, E: 35, O: 414
10, 1, -3.2 - C: 36, E: 33, O: 413
10, 1, -3.0 - C: 40, E: 30, O: 412
10, 1, -2.0 - C: 48, E: 26, O: 408
10, 1, -1.0 - C: 53, E: 30, O: 399
10, 1, 0.0 - C: 62, E: 32, O: 388
10, 2, -6.0 - C: 16, E: 29, O: 437
10, 2, -5.0 - C: 21, E: 31, O: 430
10, 2, -4.0 - C: 27, E: 35, O: 420
10, 2, -3.8 - C: 29, E: 36, O: 417
10, 2, -3.6 - C: 29, E: 37, O: 416
10, 2, -3.4 - C: 33, E: 35, O: 414
10, 2, -3.2 - C: 36, E: 33, O: 413
10, 2, -3.0 - C: 40, E: 30, O: 412
10, 2, -2.0 - C: 48, E: 26, O: 408
10, 2, -1.0 - C: 53, E: 30, O: 399
10, 2, 0.0 - C: 62, E: 32, O: 388
10, 3, -6.0 - C: 16, E: 29, O: 437
10, 3, -5.0 - C: 21, E: 31, O: 430
10, 3, -4.0 - C: 27, E: 35, O: 420
10, 3, -3.8 - C: 29, E: 36, O: 417
10, 3, -3.6 - C: 29, E: 37, O: 416
10, 3, -3.4 - C: 33, E: 35, O: 414
10, 3, -3.2 - C: 36, E: 33, O: 413
10, 3, -3.0 - C: 40, E: 30, O: 412
10, 3, -2.0 - C: 48, E: 26, O: 408
10, 3, -1.0 - C: 53, E: 30, O: 399
10, 3, 0.0 - C: 62, E: 32, O: 388
10, 4, -6.0 - C: 16, E: 29, O: 437
10, 4, -5.0 - C: 21, E: 31, O: 430
10, 4, -4.0 - C: 27, E: 35, O: 420
10, 4, -3.8 - C: 29, E: 36, O: 417
10, 4, -3.6 - C: 29, E: 37, O: 416
10, 4, -3.4 - C: 33, E: 35, O: 414
10, 4, -3.2 - C: 36, E: 33, O: 413
10, 4, -3.0 - C: 40, E: 30, O: 412
10, 4, -2.0 - C: 48, E: 26, O: 408
10, 4, -1.0 - C: 53, E: 30, O: 399
10, 4, 0.0 - C: 62, E: 32, O: 388
10, 5, -6.0 - C: 14, E: 29, O: 439
10, 5, -5.0 - C: 19, E: 31, O: 432
10, 5, -4.0 - C: 25, E: 35, O: 422
10, 5, -3.8 - C: 27, E: 36, O: 419
10, 5, -3.6 - C: 27, E: 37, O: 418
10, 5, -3.4 - C: 31, E: 35, O: 416
10, 5, -3.2 - C: 34, E: 33, O: 415
10, 5, -3.0 - C: 39, E: 30, O: 413
10, 5, -2.0 - C: 48, E: 26, O: 408
10, 5, -1.0 - C: 53, E: 30, O: 399
10, 5, 0.0 - C: 62, E: 31, O: 389
10, 6, -6.0 - C: 13, E: 27, O: 442
10, 6, -5.0 - C: 18, E: 29, O: 435
10, 6, -4.0 - C: 24, E: 33, O: 425
10, 6, -3.8 - C: 26, E: 34, O: 422
10, 6, -3.6 - C: 26, E: 35, O: 421
10, 6, -3.4 - C: 29, E: 34, O: 419
10, 6, -3.2 - C: 32, E: 32, O: 418
10, 6, -3.0 - C: 37, E: 29, O: 416
10, 6, -2.0 - C: 47, E: 26, O: 409
10, 6, -1.0 - C: 51, E: 30, O: 401
10, 6, 0.0 - C: 60, E: 31, O: 391
10, 7, -6.0 - C: 11, E: 26, O: 445
10, 7, -5.0 - C: 16, E: 28, O: 438
10, 7, -4.0 - C: 22, E: 32, O: 428
10, 7, -3.8 - C: 24, E: 33, O: 425
10, 7, -3.6 - C: 24, E: 34, O: 424
10, 7, -3.4 - C: 27, E: 33, O: 422
10, 7, -3.2 - C: 30, E: 31, O: 421
10, 7, -3.0 - C: 35, E: 28, O: 419
10, 7, -2.0 - C: 45, E: 25, O: 412
10, 7, -1.0 - C: 50, E: 29, O: 403
10, 7, 0.0 - C: 60, E: 29, O: 393
10, 8, -6.0 - C: 9, E: 21, O: 452
10, 8, -5.0 - C: 13, E: 23, O: 446
10, 8, -4.0 - C: 19, E: 27, O: 436
10, 8, -3.8 - C: 21, E: 28, O: 433
10, 8, -3.6 - C: 21, E: 29, O: 432
10, 8, -3.4 - C: 24, E: 28, O: 430
10, 8, -3.2 - C: 26, E: 27, O: 429
10, 8, -3.0 - C: 31, E: 24, O: 427
10, 8, -2.0 - C: 39, E: 22, O: 421
10, 8, -1.0 - C: 43, E: 26, O: 413
10, 8, 0.0 - C: 55, E: 26, O: 401
10, 9, -6.0 - C: 7, E: 20, O: 455
10, 9, -5.0 - C: 11, E: 22, O: 449
10, 9, -4.0 - C: 17, E: 25, O: 440
10, 9, -3.8 - C: 19, E: 26, O: 437
10, 9, -3.6 - C: 19, E: 27, O: 436
10, 9, -3.4 - C: 22, E: 26, O: 434
10, 9, -3.2 - C: 22, E: 26, O: 434
10, 9, -3.0 - C: 27, E: 23, O: 432
10, 9, -2.0 - C: 35, E: 21, O: 426
10, 9, -1.0 - C: 38, E: 24, O: 420
10, 9, 0.0 - C: 50, E: 24, O: 408
10, 10, -6.0 - C: 2, E: 19, O: 461
10, 10, -5.0 - C: 4, E: 21, O: 457
10, 10, -4.0 - C: 9, E: 24, O: 449
10, 10, -3.8 - C: 11, E: 25, O: 446
10, 10, -3.6 - C: 11, E: 26, O: 445
10, 10, -3.4 - C: 13, E: 25, O: 444
10, 10, -3.2 - C: 13, E: 25, O: 444
10, 10, -3.0 - C: 16, E: 22, O: 444
10, 10, -2.0 - C: 23, E: 20, O: 439
10, 10, -1.0 - C: 26, E: 21, O: 435
10, 10, 0.0 - C: 36, E: 22, O: 424
20, 0, -6.0 - C: 17, E: 23, O: 442
20, 0, -5.0 - C: 21, E: 25, O: 436
20, 0, -4.0 - C: 27, E: 29, O: 426
20, 0, -3.8 - C: 29, E: 30, O: 423
20, 0, -3.6 - C: 29, E: 31, O: 422
20, 0, -3.4 - C: 33, E: 29, O: 420
20, 0, -3.2 - C: 36, E: 27, O: 419
20, 0, -3.0 - C: 40, E: 24, O: 418
20, 0, -2.0 - C: 48, E: 19, O: 415
20, 0, -1.0 - C: 53, E: 24, O: 405
20, 0, 0.0 - C: 62, E: 28, O: 392
20, 1, -6.0 - C: 17, E: 23, O: 442
20, 1, -5.0 - C: 21, E: 25, O: 436
20, 1, -4.0 - C: 27, E: 29, O: 426
20, 1, -3.8 - C: 29, E: 30, O: 423
20, 1, -3.6 - C: 29, E: 31, O: 422
20, 1, -3.4 - C: 33, E: 29, O: 420
20, 1, -3.2 - C: 36, E: 27, O: 419
20, 1, -3.0 - C: 40, E: 24, O: 418
20, 1, -2.0 - C: 48, E: 19, O: 415
20, 1, -1.0 - C: 53, E: 24, O: 405
20, 1, 0.0 - C: 62, E: 28, O: 392
20, 2, -6.0 - C: 16, E: 23, O: 443
20, 2, -5.0 - C: 21, E: 25, O: 436
20, 2, -4.0 - C: 27, E: 29, O: 426
20, 2, -3.8 - C: 29, E: 30, O: 423
20, 2, -3.6 - C: 29, E: 31, O: 422
20, 2, -3.4 - C: 33, E: 29, O: 420
20, 2, -3.2 - C: 36, E: 27, O: 419
20, 2, -3.0 - C: 40, E: 24, O: 418
20, 2, -2.0 - C: 48, E: 19, O: 415
20, 2, -1.0 - C: 53, E: 24, O: 405
20, 2, 0.0 - C: 62, E: 28, O: 392
20, 3, -6.0 - C: 16, E: 23, O: 443
20, 3, -5.0 - C: 21, E: 25, O: 436
20, 3, -4.0 - C: 27, E: 29, O: 426
20, 3, -3.8 - C: 29, E: 30, O: 423
20, 3, -3.6 - C: 29, E: 31, O: 422
20, 3, -3.4 - C: 33, E: 29, O: 420
20, 3, -3.2 - C: 36, E: 27, O: 419
20, 3, -3.0 - C: 40, E: 24, O: 418
20, 3, -2.0 - C: 48, E: 19, O: 415
20, 3, -1.0 - C: 53, E: 24, O: 405
20, 3, 0.0 - C: 62, E: 28, O: 392
20, 4, -6.0 - C: 16, E: 23, O: 443
20, 4, -5.0 - C: 21, E: 25, O: 436
20, 4, -4.0 - C: 27, E: 29, O: 426
20, 4, -3.8 - C: 29, E: 30, O: 423
20, 4, -3.6 - C: 29, E: 31, O: 422
20, 4, -3.4 - C: 33, E: 29, O: 420
20, 4, -3.2 - C: 36, E: 27, O: 419
20, 4, -3.0 - C: 40, E: 24, O: 418
20, 4, -2.0 - C: 48, E: 19, O: 415
20, 4, -1.0 - C: 53, E: 24, O: 405
20, 4, 0.0 - C: 62, E: 28, O: 392
20, 5, -6.0 - C: 14, E: 23, O: 445
20, 5, -5.0 - C: 19, E: 25, O: 438
20, 5, -4.0 - C: 25, E: 29, O: 428
20, 5, -3.8 - C: 27, E: 30, O: 425
20, 5, -3.6 - C: 27, E: 31, O: 424
20, 5, -3.4 - C: 31, E: 29, O: 422
20, 5, -3.2 - C: 34, E: 27, O: 421
20, 5, -3.0 - C: 39, E: 24, O: 419
20, 5, -2.0 - C: 48, E: 19, O: 415
