gene           ec_prob        s_prob         outdeg    indeg
MYF5           0.0            1.0            1         100
PAX6           0.0            1.0            17        115
NKX2-1         0.0            1.0            27        87
SMAD1          0.0            1.0            63        98
MYF6           0.0            1.0            66        302
MEF2C          0.0            1.0            74        40
HOXD3          0.0            1.0            94        2
ARNTL2         0.0            1.0            121       0
BHLHE41        0.0            1.0            153       165
HMGA2          0.0            1.0            202       31
IRF2           0.0            1.0            227       156
HOXD1          0.05455        1.0            86        6
TP63           0.0            0.90909        0         66
EMX2           0.0            0.90909        0         2
BARHL2         0.0            0.90909        3         15
HOXD9          0.0            0.90909        4         4
HAND2          0.0            0.90909        8         83
HOXD13         0.0            0.90909        20        5
BARX2          0.0            0.90909        31        5
FLI1           0.0            0.90909        51        220
NKX3-2         0.0            0.90909        57        16
NFYB           0.0            0.90909        74        487
FOXF1          0.0            0.90909        83        63
PAX8           0.0            0.90909        101       41
MEF2A          0.0            0.90909        139       117
RFX4           0.0            0.81818        1         28
SATB1          0.0            0.81818        2         6
ZIC1           0.0            0.81818        5         23
MYOD1          0.0            0.81818        5         317
VAX1           0.0            0.81818        5         3
HIVEP2         0.0            0.81818        8         47
SIX6           0.0            0.81818        18        1
PAX3           0.0            0.81818        25        35
PRRX1          0.0            0.81818        34        8
ARNTL          0.0            0.81818        146       0
KLF4           0.0            0.81818        277       793
MSX1           0.18182        1.0            62        16
EHF            0.21818        1.0            74        60
IKZF2          0.0            0.72727        144       35
GZF1           0.0            0.72727        207       9
CEBPD          0.18182        0.90909        216       92
REST           0.01818        0.72727        83        321
T              0.0            0.68182        0         26
SOX5           0.0            0.68182        36        18
FOXL1          0.0            0.68182        264       31
TFEC           0.0            0.63636        22        0
SIX1           0.0            0.63636        69        0
E2F8           0.0            0.63636        222       82
ELK3           0.0            0.63636        231       0
EN1            0.0            0.60606        12        8
LMX1A          0.43636        1.0            0         9
SPIB           0.16364        0.72727        6         61
IRX4           0.04545        0.60606        55        13
WT1            0.0            0.54545        7         550
