number of genes: 16598
number of nodes: 533
Overlap: 482
10, 0, -6.0 - C: 31, E: 34, O: 417
10, 0, -5.0 - C: 40, E: 42, O: 400
10, 0, -4.0 - C: 48, E: 41, O: 393
10, 0, -3.8 - C: 55, E: 40, O: 387
10, 0, -3.6 - C: 58, E: 39, O: 385
10, 0, -3.4 - C: 57, E: 40, O: 385
10, 0, -3.2 - C: 60, E: 39, O: 383
10, 0, -3.0 - C: 60, E: 39, O: 383
10, 0, -2.0 - C: 69, E: 37, O: 376
10, 0, -1.0 - C: 77, E: 31, O: 374
10, 0, 0.0 - C: 77, E: 31, O: 374
10, 1, -6.0 - C: 31, E: 34, O: 417
10, 1, -5.0 - C: 40, E: 42, O: 400
10, 1, -4.0 - C: 48, E: 41, O: 393
10, 1, -3.8 - C: 55, E: 40, O: 387
10, 1, -3.6 - C: 58, E: 39, O: 385
10, 1, -3.4 - C: 57, E: 40, O: 385
10, 1, -3.2 - C: 60, E: 39, O: 383
10, 1, -3.0 - C: 60, E: 39, O: 383
10, 1, -2.0 - C: 69, E: 37, O: 376
10, 1, -1.0 - C: 77, E: 31, O: 374
10, 1, 0.0 - C: 77, E: 31, O: 374
10, 2, -6.0 - C: 31, E: 34, O: 417
10, 2, -5.0 - C: 40, E: 42, O: 400
10, 2, -4.0 - C: 48, E: 41, O: 393
10, 2, -3.8 - C: 55, E: 40, O: 387
10, 2, -3.6 - C: 58, E: 39, O: 385
10, 2, -3.4 - C: 57, E: 40, O: 385
10, 2, -3.2 - C: 60, E: 39, O: 383
10, 2, -3.0 - C: 60, E: 39, O: 383
10, 2, -2.0 - C: 69, E: 37, O: 376
10, 2, -1.0 - C: 77, E: 31, O: 374
10, 2, 0.0 - C: 77, E: 31, O: 374
10, 3, -6.0 - C: 31, E: 34, O: 417
10, 3, -5.0 - C: 40, E: 42, O: 400
10, 3, -4.0 - C: 48, E: 41, O: 393
10, 3, -3.8 - C: 55, E: 40, O: 387
10, 3, -3.6 - C: 58, E: 39, O: 385
10, 3, -3.4 - C: 57, E: 40, O: 385
10, 3, -3.2 - C: 60, E: 39, O: 383
10, 3, -3.0 - C: 60, E: 39, O: 383
