number of genes: 16598
number of nodes: 536
Overlap: 485
10, 5, -5.0 - C: 35, E: 41, O: 409
10, 5, -4.0 - C: 46, E: 40, O: 399
10, 5, -3.0 - C: 58, E: 39, O: 388
10, 5, -2.0 - C: 68, E: 37, O: 380
10, 5, -1.0 - C: 77, E: 31, O: 377
10, 5, 0.0 - C: 77, E: 31, O: 377
10, 5, 1.0 - C: 87, E: 29, O: 369
10, 5, 2.0 - C: 90, E: 25, O: 370
10, 5, 3.0 - C: 89, E: 25, O: 371
10, 5, 4.0 - C: 95, E: 25, O: 365
10, 5, 5.0 - C: 96, E: 27, O: 362
10, 6, -5.0 - C: 34, E: 41, O: 410
10, 6, -4.0 - C: 45, E: 40, O: 400
10, 6, -3.0 - C: 56, E: 39, O: 390
10, 6, -2.0 - C: 66, E: 37, O: 382
10, 6, -1.0 - C: 75, E: 31, O: 379
10, 6, 0.0 - C: 75, E: 31, O: 379
10, 6, 1.0 - C: 85, E: 29, O: 371
10, 6, 2.0 - C: 89, E: 25, O: 371
10, 6, 3.0 - C: 88, E: 25, O: 372
10, 6, 4.0 - C: 94, E: 25, O: 366
10, 6, 5.0 - C: 96, E: 26, O: 363
10, 7, -5.0 - C: 31, E: 40, O: 414
10, 7, -4.0 - C: 42, E: 38, O: 405
10, 7, -3.0 - C: 52, E: 38, O: 395
10, 7, -2.0 - C: 65, E: 36, O: 384
10, 7, -1.0 - C: 73, E: 31, O: 381
10, 7, 0.0 - C: 74, E: 31, O: 380
10, 7, 1.0 - C: 84, E: 29, O: 372
10, 7, 2.0 - C: 88, E: 25, O: 372
10, 7, 3.0 - C: 86, E: 25, O: 374
10, 7, 4.0 - C: 89, E: 25, O: 371
10, 7, 5.0 - C: 89, E: 25, O: 371
10, 8, -5.0 - C: 28, E: 38, O: 419
10, 8, -4.0 - C: 39, E: 36, O: 410
10, 8, -3.0 - C: 49, E: 36, O: 400
10, 8, -2.0 - C: 61, E: 35, O: 389
10, 8, -1.0 - C: 70, E: 31, O: 384
10, 8, 0.0 - C: 72, E: 31, O: 382
10, 8, 1.0 - C: 82, E: 29, O: 374
10, 8, 2.0 - C: 86, E: 25, O: 374
