gene           ec_prob        s_prob         outdeg    indeg
LMX1A          0.0            1.0            0         23
PDX1           0.0            1.0            0         198
NKX2-1         0.0            1.0            0         248
DMRT3          0.0            1.0            0         20
PAX6           0.0            1.0            0         315
VSX1           0.0            1.0            1         0
SIX6           0.0            1.0            1         20
RXRG           0.0            1.0            2         288
VAX1           0.0            1.0            7         9
EHF            0.0            1.0            22        158
HOXD3          0.0            1.0            32        8
GSX2           0.0            1.0            36        12
PAX3           0.0            1.0            46        97
BARHL2         0.0            1.0            48        54
MYF5           0.0            1.0            64        329
NEUROD1        0.0            1.0            66        379
WT1            0.0            1.0            118       1659
MYOD1          0.0            1.0            145       1021
ZIC1           0.0            1.0            166       49
MYF6           0.0            1.0            172       968
PAX8           0.0            1.0            172       118
EN2            0.0            1.0            199       9
SIX1           0.0            1.0            249       8
SMAD1          0.0            1.0            268       282
ERG            0.0            1.0            283       494
IKZF2          0.0            1.0            305       119
SIX2           0.0            1.0            401       14
MEF2C          0.0            1.0            481       120
BACH1          0.0            1.0            682       375
FOXL1          0.0            1.0            724       108
NR4A2          0.0            1.0            928       0
GTF2A1         0.0            1.0            1066      40
SIX3           0.0            0.90909        4         21
BARX2          0.0            0.90909        35        18
DMRT2          0.0            0.90909        58        30
MITF           0.0            0.90909        303       265
GZF1           0.0            0.90909        531       9
HOXD13         0.14545        1.0            129       27
FOXI1          0.0            0.81818        0         120
HMX1           0.0            0.81818        1         22
OTP            0.0            0.81818        1         14
RFX4           0.0            0.81818        37        79
ONECUT1        0.0            0.81818        65        37
MNX1           0.0            0.81818        75        14
EN1            0.0            0.81818        98        11
LHX5           0.0            0.72727        0         12
TFF3           0.18182        0.90909        84        329
TBX5           0.0            0.72727        185       55
POU3F1         0.0            0.72727        225       279
MEF2A          0.0            0.72727        416       418
ZBTB16         0.0            0.72727        424       29
EBF2           0.23636        0.90909        314       319
PAX4           0.0            0.63636        0         1332
NKX2-2         0.0            0.63636        34        81
ELF5           0.0            0.63636        53        55
HOXD1          0.36364        1.0            220       16
NKX6-2         0.0            0.60606        1         30
SMAD2          0.4            1.0            606       154
SRY            0.23636        0.81818        0         96
FLI1           0.41818        1.0            413       622
LHX6           0.16364        0.72727        60        18
HMGA2          0.16364        0.72727        679       105
KLF15          0.12121        0.68182        466       2011
TAL2           0.0            0.54545        0         265
PAX7           0.0            0.54545        0         4
NR1I2          0.0            0.54545        30        409
VAX2           0.0            0.54545        141       5
DLX5           0.09091        0.63636        226       22
FOXP3          0.0            0.54545        371       36
NR2F1          0.45455        1.0            769       990
ATOH1          0.0            0.5303         0         336
E2F8           0.50909        1.0            445       247
NKX3-2         0.54545        1.0            126       37
TBX18          0.36364        0.81818        670       45
GATA1          0.0            0.45455        0         268
SATB1          0.0            0.45455        0         24
GCM2           0.0            0.45455        2         78
ARX            0.0            0.45455        109       1
FOSL2          0.10909        0.54545        1212      713
RORA           0.09091        0.45455        7         95
MECP2          0.09091        0.45455        414       106
FOXF2          0.02727        0.36364        109       202
SOX6           0.67273        1.0            1         64
RBPJ           0.21818        0.54545        705       103
MYB            0.69091        1.0            202       348
ESRRB          0.0            0.30303        2         52
TFAP2B         0.0            0.30303        12        2855
ARNTL2         0.0            0.27273        106       0
FOXD3          0.36364        0.63636        220       159
BHLHE41        0.56364        0.81818        585       556
HOXD9          0.74545        1.0            192       30
PROP1          0.0            0.24242        0         33
NR3C1          0.76364        1.0            752       282
ISX            0.0            0.22727        0         17
NR1H4          0.01818        0.21212        32        152
LHX8           0.0            0.18182        0         28
IKZF1          0.0            0.18182        0         665
THRB           0.0            0.18182        115       178
POU3F2         0.0            0.18182        510       296
IRF2           0.0            0.18182        645       553
KLF4           0.81818        1.0            971       2189
ZNF354C        0.0            0.15152        200       0
LTF            0.0            0.13636        6         16
GFI1           0.0            0.13636        35        213
REST           0.0            0.13636        342       1062
RUNX2          0.87273        1.0            28        134
NFATC1         0.87273        1.0            382       204
IRX6           0.1            0.22727        25        16
SOX5           0.0            0.12121        22        69
TFEC           0.0            0.12121        69        0
IRF4           0.0            0.12121        84        447
BARHL1         0.0            0.12121        266       60
DMRT1          0.89091        1.0            0         49
SOX12          0.07273        0.18182        616       64
POU3F4         0.0            0.09091        0         26
NHLH1          0.0            0.09091        1         680
ZBTB6          0.0            0.09091        113       93
EGR4           0.0            0.09091        202       2721
EMX2           0.43939        0.5303         165       5
KLF12          0.18182        0.27273        555       0
ARNT2          0.0            0.07576        15        238
SHOX2          0.0            0.07576        240       4
RAX            0.0            0.06061        45        39
LHX4           0.0            0.06061        50        34
MAD1L1         0.01515        0.07576        192       265
FOXF1          0.94545        1.0            258       185
STAT4          0.01212        0.06061        280       342
POU4F1         0.0            0.04545        15        202
POU3F3         0.0            0.04545        89        223
FOXO3          0.0            0.04545        1416      78
FOXA1          0.18182        0.22727        86        260
ZNF350         0.96364        1.0            94        317
ELK3           0.69091        0.72727        715       0
GBX2           0.0            0.0303         227       18
AR             0.0            0.0303         233       239
IRX5           0.5            0.5303         744       19
SPIB           0.01818        0.04545        46        190
GATA6          0.98182        1.0            527       27
GCM1           0.00909        0.01515        3         78
NFIC           0.02424        0.0303         206       658
NR5A1          0.0            0.0            0         54
IRF5           0.0            0.0            0         447
VSX2           0.0            0.0            0         8
CDX2           1.0            1.0            0         154
T              1.0            1.0            0         61
SOX10          0.0            0.0            0         64
CRX            0.0            0.0            0         100
OTX2           1.0            1.0            0         62
HNF4G          0.0            0.0            0         168
NR0B1          0.0            0.0            0         146
ZFP42          0.72727        0.72727        0         600
TBX22          0.0            0.0            0         41
POU6F1         0.0            0.0            1         40
DMBX1          0.0            0.0            1         18
TFDP2          0.06061        0.06061        2         247
ELF2           0.0            0.0            5         848
BARX1          0.0            0.0            5         23
FOXA2          0.72727        0.72727        6         249
AIRE           0.0            0.0            6         40
EVX1           0.0            0.0            8         2
ALX1           0.22727        0.22727        9         26
TFCP2L1        0.30303        0.30303        9         226
HOXB1          0.0            0.0            10        43
NKX2-5         0.0            0.0            11        123
RORB           0.0            0.0            14        0
ZIC3           1.0            1.0            16        50
IRX4           0.15152        0.15152        16        33
POU2F3         0.0            0.0            16        278
ALX3           0.0            0.0            18        32
SOX3           0.5303         0.5303         22        64
HAND1          0.0            0.0            22        366
EOMES          1.0            1.0            23        4
PAX2           0.0            0.0            27        123
HNF1B          0.0            0.0            30        204
HIVEP2         0.90909        0.90909        30        150
